senior_no,no,분류,카테고리번호,HOT/ICE,이름,가격,설명.img_path,Unnamed: 7
1001,71,음료,14,HOT,핫초코,3500,부드러운 우유에 진한 초코소스가 어우러져 달콤하게 입맛을 깨우는 초콜릿 음료.,
1002,94,커피(HOT),9,HOT,카페모카,3900,"초코를 만나 풍부해진 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.",
1003,95,커피(HOT),10,HOT,카푸치노,2900,"에스프레소 위에 올려진 우유 거품, 그리고 시나몬 파우더로 완성한 조화로운 맛의 커피.",
1004,106,커피(ICE),9,ICE,카라멜마끼아또,3500,폼 밀크 속에 진한 에스프레소와 달콤한 카라멜을 가미해 부드럽게 즐기는 커피.,
1005,107,커피(ICE),10,ICE,카페모카,3700,"초코를 만나 풍부해진 에스프레소와 고소한 우유, 부드러운 휘핑크림까지 더해 달콤하게 즐기는 커피.",
1006,108,커피(ICE),11,ICE,카푸치노,2700,"에스프레소 위에 올려진 우유 거품, 그리고 시나몬 파우더로 완성한 조화로운 맛의 커피.",
1007,115,티,5,ICE,유자차,3300,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.,
1008,117,티,7,ICE,자몽차,3300,달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티.,
1009,124,티,14,HOT,유자차,3300,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.,
1010,126,티,16,HOT,자몽차,3300,달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티.,
1011,145,디저트,15,,몽쉘케이크,5300,진하고 폭신한 초콜릿 스펀지 사이에 부드러운 생크림이 듬뿍 들어간 몽쉘 케이크.,
1012,148,디저트,18,,감자빵,3500,쫄깃한 빵 속 포슬포슬한 감자를 가득 담아낸 베이커리 메뉴.,
1013,156,디저트,26,,허니브레드,4500,바삭하고 쫄깃하게 구워낸 빵에 달콤한 크림을 올려 즐기는 조화로운 베이커리 메뉴.,
1014,157,디저트,27,,핫도그,2700,부드러운 빵 속에 쫄깃한 소시지를 넣어 알찬 한입을 완성한 베이커리 메뉴.,
1015,162,커피,14,ICE,할메가미숫커피,5000,"남녀노소 다먹을 수 있는 할메가미숫커피.""C:\Users\pgr05\embeded\mega_kiosk\img\drinks\할메가미숫커피.jpg""",
1016,163,커피,15,HOT,할메가미숫커피,5000,"남녀노소 다먹을 수 있는 할메가미숫커피.""C:\Users\pgr05\embeded\mega_kiosk\img\drinks\할메가미숫커피.jpg""",
